Index,pH,Iron,Nitrate,Chloride,Lead,Zinc,Color,Turbidity,Fluoride,Copper,Odor,Sulfate,Conductivity,Chlorine,Manganese,Total Dissolved Solids,Source,Water Temperature,Air Temperature,Month,Day,Time of Day,Target
338067,5.43357769899386,7.529314477656439e-09,8.518680438751293,,1.083030389356958e-50,2.1226869480976345,Faint Yellow,1.4346353391416728,1.2436397110637265,0.029970719799343,3.801785787106823,160.7304907958061,266.7867109245309,3.740346388993356,,293.94291352195114,Reservoir,24.609394123174745,61.37518015741429,January,24.0,7.0,1
863700,7.738719799920952,0.0005018565829512,9.09002738531864,224.0719301284176,4.206919905914943e-38,0.288448637067701,Faint Yellow,0.1813739942355892,0.3123022517531149,0.1373758381378882,0.8213292767930153,129.673413015221,744.4480558186392,3.315753903466203,0.0012512798261124,187.6109673379733,Reservoir,13.014032997423495,33.363681842549624,October,1.0,0.0,0
785112,6.839512452400943,0.0042500183294391,4.79359225970884,115.1953264658682,2.693954250036873e-164,2.5824716846535933,Colorless,0.907714811947785,0.7692155127391744,0.4801139331108883,2.372762774277292,124.83843144233576,153.19127506602652,2.724243818555707,0.0247915726968745,49.37537665538166,River,26.35794034361017,61.84471761693932,July,15.0,17.0,0
113151,6.755584386122555,0.0254064641929597,7.70058630201869,113.06453374137936,3.7868464594459406e-117,2.8683334718067,Colorless,0.6834279333798707,0.3836820371751399,0.2254140464582846,2.4058190572956315,149.55942378790934,863.1326488602975,3.552761893643286,0.0100477750492094,304.20703509003573,Aquifer,18.708350009371596,61.39242142448367,June,15.0,16.0,0
666031,6.538577265493824,0.0037506770600111,9.263497868732046,201.21524969623997,4.33483134138901e-81,0.1402804943804423,Faint Yellow,3.66525449960874,0.8600199887366328,0.8692719581005185,1.8133532258091312,109.4966393380994,575.1522031467772,4.329042422420859,8.690192533711635,544.9001515420147,Aquifer,9.412400194890932,77.23626387901452,September,8.0,1.0,1
489445,6.944404956863274,0.0837568858004734,9.96353547385352,157.30358432356957,1.1443849164170437e-115,1.6247067903939338,Colorless,0.1944537912876011,1.6031882752166418,0.9579272591288056,1.1286866200226855,147.74470985369004,617.5054482258852,3.742664203449437,5.208233449791107e-09,28.33936598727946,Stream,12.594075822155204,71.33358945797325,January,20.0,16.0,0
534278,6.522592404607535,0.0320901468499154,1.7399320839979937,208.1744205831036,3.3082188040014987e-16,0.3283990826740502,Colorless,0.0013433120860201,0.80606231482833,0.711707366665268,1.2970636469363777,239.85381240053545,392.1671869519091,2.2567006082763914,0.044622718780438,83.80125453953075,Ground,9.531295655779212,71.76835943170683,December,2.0,23.0,0
26311,8.432734929379501,8.945365360025103e-05,5.752123313928416,98.79769715379626,0.0,0.0205351076310944,Colorless,0.1587944420841094,1.0931941080902972,0.5291688590221129,2.2506529969538875,126.1761147249824,252.74634971498173,3.840291338790483,2.150662659724659e-05,281.4128190295337,Aquifer,14.70152976039988,66.83648149344071,March,27.0,1.0,0
1006970,7.10808682797325,1.3092999534488603e-05,3.263724186861317,190.9201099527096,2.1132735742544527e-300,1.4196598542454888,Colorless,0.4999140321321812,1.3568279850301337,0.1956140459856295,1.234363330119434,70.86282685375808,427.8533193585079,3.5592783514672117,1.4001298280804682e-13,144.06762818146834,Stream,11.774431267093872,78.3247956355893,August,24.0,21.0,0
159442,8.940782050355583,1.944186739884437e-09,4.481515565849153,360.5315633377426,1.9789292449919838e-135,3.567425966965488,Near Colorless,1.8049883695296896,0.8081741311780251,1.143921294136445,1.348861613485118,133.9667239987757,475.4102651949405,2.68627919547875,1.4928908215314624e-10,103.78522976724052,River,27.178325137194904,62.28490676540786,August,14.0,1.0,0
779889,7.806072250838209,1.7461509449739684e-22,6.673089695472016,162.7919779450318,5.902830996163508e-38,3.757828891696396,Near Colorless,0.0256089527626471,,0.72193810382718,0.3981939525002829,162.2702785342065,233.28012395125293,3.938978743113821,0.0002644219522062,423.5056231515232,Aquifer,28.45606297269984,75.27884121568329,August,16.0,12.0,0
378528,7.453893266285386,0.0575861629050323,10.067641386910749,435.01699949699247,1.413749695828583e-38,0.8155244860401643,Light Yellow,0.7304355259393628,,0.2296440075913585,3.986345470598263,160.8218096344529,267.51512995642605,2.8352405619437824,0.8779741755725977,443.592136211073,Ground,12.46670191390085,71.349725240298,April,1.0,12.0,1
816969,8.341848937824922,0.1991245836868862,3.8088735074828217,,6.672712259446584e-225,0.2492892098638961,Light Yellow,0.4348288261913208,0.821794416437781,0.9035069878633812,1.8149631417997376,108.25891426327524,446.5489847241122,3.1843575012415557,0.0004079308656324,62.50563392959186,Ground,35.481962584069045,63.77247458496833,January,19.0,11.0,0
662811,7.51108795514665,0.0002413694385882,6.420607962196466,126.44981739782708,4.436568029916927e-59,0.7447807590863866,Colorless,0.9100428889539004,,0.2041595465879443,1.0673117758914117,131.396849658373,378.8766300774571,3.3973200527190333,0.0002149474766548,321.5226206310256,Ground,42.27564517448343,85.28967421857374,October,30.0,2.0,0
878107,6.82056957914096,0.0238789236720629,4.684115447359005,225.72784258058127,1.095654002328019e-163,2.327575656580659,Near Colorless,0.6364211014984414,0.4420559933995417,0.1411760476638562,0.8007789172453732,125.94029707186118,489.7474609650996,4.1969063784616205,0.0087069813584206,110.20761869344406,River,8.713441535971231,77.89128994138304,April,17.0,17.0,0
87317,8.046827434937859,0.1541802384099701,5.351630514320743,80.25416749191476,1.9693426727091504e-78,2.1668582910635967,Colorless,,0.8445393794814398,0.32457787237487,2.9138253779307624,145.70293874853945,139.2745442965813,3.762389938616605,,10.783398179687431,Spring,21.052673178861056,61.35730079604428,July,24.0,6.0,0
748034,8.636572938037233,0.0401459277947403,7.802672102219383,170.98267497584675,3.530901366584556e-147,1.8979918340133528,Near Colorless,2.495563701993148e-05,1.315097383459665,7.517819649405363,1.137343849339316,104.64740962197348,284.84692762805804,2.702303048093068,2.5820084235020726,555.0267581437624,Ground,9.07177677431377,54.28163640809131,January,31.0,5.0,1
916925,6.584806422996095,5.521113912991507e-05,9.344076370649098,113.93538024345406,1.6057533118799112e-10,1.7528800672375653,Near Colorless,0.4587146333343933,0.2070952824662583,0.2281027800433925,1.1220371921400885,151.69332899108042,582.3097766609045,3.450075707464849,0.0006357764816847,98.65893577154831,Reservoir,40.55242517068418,75.15198492869838,January,15.0,10.0,0
564206,7.032858218645372,5.152885445051721e-06,,233.97635454086551,1.4925604583813784e-88,2.8789450693110306,Near Colorless,0.4208497522457333,0.6841462116053564,0.139557043764311,2.258771271570415,72.91981298741727,322.92921211987107,4.003233502085231,0.0020004951498302,22.842681274389264,Reservoir,18.28659959291862,65.34819244554446,March,12.0,19.0,0
736572,6.730028096085757,0.1480700491477109,12.160474781699389,331.68032370830457,9.12718348961592e-59,2.0868600334535707,Faint Yellow,0.16636086384164,7.166499241496888,0.1334361799236388,,269.82431602913545,357.08570178825875,2.745503117959788,6.450055404705162e-10,311.01936547811164,Spring,8.100210637573914,89.86008488843488,July,5.0,23.0,1
502786,8.450838161866052,4.114711559606927e-09,7.724449016759982,159.5361565808181,1.945614577375393e-74,2.2305144192243618,Colorless,0.031647467081408,0.6240639395523588,,2.634219688194706,216.47390213305985,725.321891727289,3.290569577747813,3.934747099029738e-16,106.46587986649362,River,12.074290409625624,36.03956287362213,June,6.0,0.0,0
603853,7.646433330897719,0.0077768217181204,,163.45251789270233,6.313694028829764e-20,0.6199473654165125,Colorless,0.1627534422775062,0.595620127388159,0.3155558179798025,1.4642851552010463,75.60828551245507,485.24989349023855,3.298403993250149,,118.8476446663748,Aquifer,5.186591231847282,69.7881357230142,April,2.0,8.0,0
258993,7.459080026366133,1.9260411148057304e-19,4.96370994536478,183.59971033360023,8.366927352197727e-132,1.1384791942907078,Yellow,0.0721838095302855,0.0353927159103283,0.3599425875656412,2.250351478211164,191.93388904438555,600.7196037529656,3.2277319203947195,2.2945244358071803e-05,423.3539033135141,Reservoir,14.484509830720464,82.72316065482272,January,29.0,6.0,0
987698,7.807405629531592,0.0005143890264746,1.1595062488374868,155.05002593513902,1.195330061100814e-115,0.0149462741447441,Near Colorless,0.0018086041987535,0.6599673705134607,0.1319050471072567,2.8954197227521954,138.85461997062612,,2.811035196480516,8.293225857748146e-09,498.738417528327,River,11.703714047786836,36.90652444700251,December,3.0,22.0,0
329190,8.918164909280469,1.004868175998113,3.341903937643001,324.0989358148179,8.587528776066452e-24,,Near Colorless,0.3227037316201693,0.7011056261501715,0.7799687263873144,2.8847492833667907,223.00074610335287,702.2234339096426,3.873405073130345,1.9461701659360207e-06,122.87175669610698,Reservoir,31.00797552167013,42.95619862941321,July,9.0,21.0,1
1026973,6.21191620952084,1.1395008155095228e-12,8.031353484649644,151.8453800751835,5.831204762366133e-145,6.3339898086792985,Faint Yellow,0.0302647299821741,0.8151941357820384,0.2791767633979445,3.6806610995017546,260.12572369876324,369.4984961932643,3.079329605942524,3.7581851376158166,237.35850757013577,Ground,30.02200221200051,61.52357513756898,August,14.0,21.0,0
417734,7.1212034370443735,5.076624204074621e-07,3.855484890084611,153.90703406967685,5.821361617988514e-104,1.068674331604461,Faint Yellow,0.5783763810781943,1.3471314295045522,0.0596237122182405,2.619364389520468,154.5605787797775,387.0668163590945,3.608307990074444,0.0172473191126207,92.8113130791228,Aquifer,10.527628754542212,76.07961031917779,January,21.0,20.0,0
35093,8.32635397143766,1.3540654261901162e-15,5.738474901663487,166.3598536385865,0.0003553517324993,1.341449886966272,Faint Yellow,0.3859261761843783,1.7464530569744636,0.1424067810269209,2.661584392509405,190.07420910692025,389.9575230525765,2.764169222530777,0.0032719523983944,320.50455157477955,Aquifer,10.770637186297014,73.53110863132713,November,5.0,14.0,0
365176,8.51922325153499,1.680902296223426e-07,7.436114341990473,,2.496405539228404e-74,1.0072575299092854,Colorless,1.1136641487723953,2.83971505338189,0.6895405942287601,3.29549403486142,263.9757144790564,833.2319625404422,4.84023338556172,0.2374669875253821,173.160163860563,River,10.393069314770118,47.32717476688589,May,19.0,14.0,1
99113,8.27263669671285,8.054422599445905e-10,7.977244916928857,,1.592571913982441e-96,0.8209698944102066,Colorless,0.2632180568583888,0.0465643031248156,0.6490223607750185,2.7988792118789565,135.04645582895108,575.2159335068603,3.664487817910092,0.0005112364572136,204.1362725947405,Stream,48.29228701210152,41.94368877897961,October,21.0,9.0,0
455791,7.413995309199701,3.622061084372322e-06,8.770273956898745,205.63548513054465,2.194034232474666e-47,1.3511456789538607,Near Colorless,0.1292833607997354,0.936294920343698,0.0073921216778673,0.8642754837294778,67.326425078741,637.4173198016407,2.141491179694094,1.9002437990510797e-06,47.679654089302986,Stream,13.461246152724854,50.15969548984466,August,8.0,,0
427467,8.140615763775903,0.1926828911120353,6.224639595389157,121.9650350192748,1.0866108866816944e-122,1.7783038301941594,Faint Yellow,0.3397435992656502,0.1119136890804754,0.1073438996971857,2.5710347421836266,234.1300714192046,585.5880206688347,3.07838079140022,0.0462037063976602,339.95438306588187,Reservoir,24.22296242209942,30.85658759856214,June,28.0,14.0,0
